2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:10 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:11 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
2021-07-12 17:28:12 INFO  SortVariant:28 - Change position
